id_talent_req,id_company,nama_perusahaan,alamat_kantor,industri_sektor,nama_pic,no_whatsapp,nama_posisi,jenis_penempatan,headcount,bidang_studi_dibutuhkan,minimum_semester,deskripsi_requirement,working_arrangement,working_arrangement_detail,durasi,renumerasi,request_date,sumber_baris_form
TR5012,C1317,CV Nusa Mandiri,"Jl. Pandanaran No. 90, Semarang",Logistik & Supply Chain,Erlangga Wardani,085711069001,Supply Chain Analyst,Magang,2,"Sistem Informasi, Manajemen",6,"Menguasai supply chain management, Excel, analisis data operasional.",Hybrid,"WFO Senin-Rabu, WFH Kamis-Jumat",6 Bulan,Non-Paid,2023-08-02,Google Form
TR5013,C331,PT Sinergi Mandiri,"Jl. Brigjend Katamso No. 138, Bandung",Logistik & Supply Chain,Irfan Nugroho,082209376184,Data Entry Operator,Magang,1,"Sistem Informasi, Manajemen",5,"Menguasai dasar-dasar data entry operator, komunikasi baik, mampu bekerja dalam tim.",WFO,"WFO 5 hari, jam kerja fleksibel",3 Bulan,Non-Paid,2023-11-12,Google Form
TR5014,C019,PT Inovasi Utama,"Jl. Adi Sucipto No. 190, Surakarta",Konsultan Manajemen,Eka Fitriani,082180598262,IT Consultant Intern,Magang,2,"Informatika, Sistem Informasi",4,"Menguasai dasar-dasar it consultant intern, komunikasi baik, mampu bekerja dalam tim.",WFO,"WFO 5 hari, jam kerja fleksibel",6 Bulan,Rp 1.500.000/bulan,2023-12-18,Google Form
TR5015,C1456,CV Kreasi Karya,"Jl. Veteran No. 18, Yogyakarta",FMCG,Galih Nugraha,085600370907,HR Intern,Magang,2,"Psikologi, Manajemen",5,"Memahami dasar HRM, recruitment process, administrasi kepegawaian.",WFO,"Full WFO, shift pagi/siang",3 Bulan,Non-Paid,2023-12-10,Google Form
TR5016,C942,PT Cipta Digital,"Jl. Thamrin No. 125, Yogyakarta",Teknologi Informasi,Fani Saputra,083868571173,Full Stack Developer,Magang,3,"Informatika, Sistem Informasi",6,"Menguasai frontend (React/Vue) dan backend (Node/Python), API integration, database management.",WFO,"WFO 5 hari, jam kerja fleksibel",6 Bulan,Rp 1.500.000/bulan,2023-11-25,Google Form
TR5017,C1198,PT Mandiri Media,"Jl. Monginsidi No. 90, Jakarta",Travel & Hospitality,Kirana Ardiansyah,082231454615,Data Analyst,Magang,4,"Ekonomi Pembangunan, Sistem Informasi",5,"Menguasai SQL, Python/R, visualisasi data (Tableau/Power BI), statistik dasar.",Hybrid,WFO minimal 2 hari per minggu,3 Bulan,Rp 1.500.000/bulan,2024-01-23,Google Form
TR5018,C400,PT Cakra Bersama,"Jl. Thamrin No. 125, Bandung",Properti & Konstruksi,Isna Utami,082221941680,IT Support,Magang,2,"Teknik Elektro, Sistem Informasi",6,"Menguasai troubleshooting hardware/software, networking dasar, Microsoft Office.",WFO,"WFO 5 hari, jam kerja fleksibel",3 Bulan,Rp 2.000.000/bulan,2024-01-01,Google Form
TR5019,C1452,PT Sentosa Gemilang,"Jl. Thamrin No. 128, Semarang",Telekomunikasi,Aldi Handayani,085673553080,Network Engineer Intern,Part-time,4,"Informatika, Teknik Elektro",4,"Menguasai dasar-dasar network engineer intern, komunikasi baik, mampu bekerja dalam tim.",WFO,"Full WFO, shift pagi/siang",3 Bulan,Rp 2.000.000/bulan,2023-10-31,Google Form
TR5020,C577,PT Cakra Karya,"Jl. Raya Pajajaran No. 171, Jakarta",Teknologi Informasi,Oki Budiman,081297052774,Full Stack Developer,Full-time,1,"Informatika, Sistem Informasi",5,"Menguasai frontend (React/Vue) dan backend (Node/Python), API integration, database management.",WFO,"WFO 5 hari, jam kerja fleksibel",4 Bulan,Rp 5.000.000/bulan,2023-08-14,WhatsApp
TR5021,C618,PT Sinergi Nusantara,"Jl. Diponegoro No. 31, Jakarta",Agribisnis,Kirana Handoko,085688360765,Research Assistant,Magang,2,"Statistika, Psikologi",6,"Kemampuan riset akademik, analisis data kuantitatif/kualitatif, literatur review.",WFO,"Full WFO, shift pagi/siang",6 Bulan,Rp 3.000.000/bulan,2023-08-21,Input Manual
TR5022,C1307,CV Esa Abadi,"Jl. Adi Sucipto No. 185, Surakarta",Retail,Galuh Hakim,087865051886,Visual Merchandiser Intern,Full-time,2,Desain Komunikasi Visual,7,"Menguasai dasar-dasar visual merchandiser intern, komunikasi baik, mampu bekerja dalam tim.",Hybrid,"3 hari WFO, 2 hari WFH",3 Bulan,Rp 4.500.000/bulan,2023-12-23,Input Manual
TR5023,C893,PT Bangkit Global,"Jl. Yos Sudarso No. 137, Surakarta",Logistik & Supply Chain,Yuni Hakim,081361139013,Data Entry Operator,Magang,1,"Akuntansi, Manajemen",5,"Menguasai dasar-dasar data entry operator, komunikasi baik, mampu bekerja dalam tim.",WFO,"Full WFO, shift pagi/siang",6 Bulan,Rp 750.000/bulan,2023-11-25,Google Form
TR5024,C917,PT Bina Solusi,"Jl. Hasanuddin No. 17, Yogyakarta",Travel & Hospitality,Dwi Hidayat,085884668239,Data Analyst,Magang,2,"Statistika, Informatika",5,"Menguasai SQL, Python/R, visualisasi data (Tableau/Power BI), statistik dasar.",WFO,"WFO 5 hari, jam kerja fleksibel",Tidak Terbatas,Rp 3.000.000/bulan,2023-08-06,Email
TR5025,C250,PT Jaya Solusi,"Jl. Pemuda No. 58, Yogyakarta",Pendidikan & EdTech,Nisa Dewi,082239521117,IT Support,Magang,4,"Informatika, Sistem Informasi",6,"Menguasai troubleshooting hardware/software, networking dasar, Microsoft Office.",Hybrid,"2 hari WFO, 3 hari WFH",3 Bulan,Non-Paid,2023-11-20,Google Form
TR5026,C231,PT Nusa Systems,"Jl. Yos Sudarso No. 93, Malang",Konsultan Manajemen,Dwi Santoso,081280996930,IT Consultant Intern,Part-time,2,"Informatika, Sistem Informasi",7,"Menguasai dasar-dasar it consultant intern, komunikasi baik, mampu bekerja dalam tim.",WFO,"Full WFO, Senin-Jumat 08:00-17:00",6 Bulan,Rp 1.500.000/bulan,2023-12-04,Google Form
TR5027,C995,PT Sinergi Makmur,"Jl. Dago No. 194, Tangerang",Asuransi,Amelia Nugroho,085287312677,Actuarial Analyst Intern,Magang,3,"Statistika, Akuntansi",4,"Menguasai dasar-dasar actuarial analyst intern, komunikasi baik, mampu bekerja dalam tim.",Hybrid,"Hybrid fleksibel, minimal 3 hari WFO per minggu",6 Bulan,Rp 3.000.000/bulan,2023-08-29,Google Form
TR5028,C235,PT Sukses Makmur,"Jl. Pandanaran No. 4, Yogyakarta",E-commerce,Aditya Dewi,087874125615,Business Development Intern,Full-time,1,"Ilmu Komunikasi, Manajemen",7,"Menguasai dasar-dasar business development intern, komunikasi baik, mampu bekerja dalam tim.",Hybrid,"3 hari WFO, 2 hari WFH",4 Bulan,Rp 3.000.000/bulan,2023-11-16,Google Form
TR5029,C709,CV Inovasi Informatika,"Jl. Veteran No. 49, Jakarta",Properti & Konstruksi,Muhammad Cahyani,085272835129,Project Coordinator Intern,Part-time,3,"Teknik Sipil, Manajemen",5,"Menguasai dasar-dasar project coordinator intern, komunikasi baik, mampu bekerja dalam tim.",Hybrid,"3 hari WFO, 2 hari WFH",3 Bulan,Rp 1.500.000/bulan,2023-08-09,Google Form
TR5030,C1309,PT Daya Terapan,"Jl. Ahmad Yani No. 150, Semarang",Asuransi,Oscar Anggara,085899667767,Business Analyst,Magang,4,"Informatika, Statistika",5,"Menguasai analisis proses bisnis, SQL, visualisasi data, komunikasi yang baik.",Hybrid,"WFO Senin-Rabu, WFH Kamis-Jumat",3 Bulan,Rp 1.500.000/bulan,2023-12-27,Google Form
TR5031,C1408,PT Bumi Analitika,"Jl. Kebon Jeruk No. 166, Bandung",Energi & Pertambangan,Tasya Mahendra,081659160435,Electrical Engineer Intern,Full-time,1,Teknik Elektro,6,"Menguasai dasar-dasar electrical engineer intern, komunikasi baik, mampu bekerja dalam tim.",WFO,"Full WFO, Senin-Jumat 08:00-17:00",3 Bulan,Rp 5.500.000/bulan,2023-09-27,Google Form
TR5032,C1175,CV Inti Inovasi,"Jl. Braga No. 194, Surakarta",Teknologi Informasi,Lukman Wardani,081323069829,Frontend Developer,Magang,3,"Sistem Informasi, Informatika",5,"Menguasai HTML/CSS/JavaScript, framework React/Vue.js, responsive design. Pengalaman dengan Git.",Hybrid,"2 hari WFO, 3 hari WFH",3 Bulan,Non-Paid,2023-09-26,Google Form
TR5033,C261,PT Sejahtera Systems,"Jl. Mangga Dua No. 174, Yogyakarta",Asuransi,Rani Ramadhani,085754445823,Actuarial Analyst Intern,Full-time,4,"Statistika, Akuntansi",6,"Menguasai dasar-dasar actuarial analyst intern, komunikasi baik, mampu bekerja dalam tim.",Hybrid,"Hybrid fleksibel, minimal 3 hari WFO per minggu",6 Bulan,Rp 4.500.000/bulan,2023-11-16,Email
TR5034,C950,CV Bakti Bersama,"Jl. Monginsidi No. 154, Surakarta",Konsultan Manajemen,Mira Mahendra,082212616850,IT Consultant Intern,Part-time,2,"Informatika, Sistem Informasi",7,"Menguasai dasar-dasar it consultant intern, komunikasi baik, mampu bekerja dalam tim.",WFH,"Full remote, standup meeting harian via Zoom",3 Bulan,Rp 2.000.000/bulan,2023-12-25,Google Form
TR5035,C1168,PT Sinergi Konsultan,"Jl. Urip Sumoharjo No. 46, Surakarta",Logistik & Supply Chain,Putri Sari,085322622777,Business Process Analyst,Magang,2,"Manajemen, Teknik Industri",4,"Menguasai dasar-dasar business process analyst, komunikasi baik, mampu bekerja dalam tim.",WFO,"Full WFO, shift pagi/siang",4 Bulan,Non-Paid,2023-08-26,Google Form
TR5036,C1319,CV Mitra Perkasa,"Jl. Diponegoro No. 7, Bekasi",E-commerce,Bayu Hidayat,085666910082,Product Manager Intern,Part-time,1,"Sistem Informasi, Informatika",5,"Menguasai dasar-dasar product manager intern, komunikasi baik, mampu bekerja dalam tim.",Hybrid,"Hybrid fleksibel, minimal 3 hari WFO per minggu",3 Bulan,Rp 1.000.000/bulan,2023-10-29,WhatsApp
TR5037,C006,PT Gemilang Bersama,"Jl. Ahmad Yani No. 193, Surakarta",Retail,Maya Firmansyah,081385081420,Marketing Intern,Magang,1,"Manajemen, Ilmu Komunikasi",7,"Memahami dasar marketing, riset pasar, presentasi, MS Office.",WFO,"Full WFO, Senin-Jumat 08:00-17:00",Tidak Terbatas,Non-Paid,2023-09-13,Google Form
TR5038,C1270,PT Kreasi Pratama,"Jl. Hasanuddin No. 92, Bekasi",Konsultan Manajemen,Ulfa Hakim,081582347332,HR Intern,Part-time,3,"Psikologi, Manajemen",6,"Memahami dasar HRM, recruitment process, administrasi kepegawaian.",WFH,WFH dengan weekly meeting online,4 Bulan,Rp 2.500.000/bulan,2023-09-24,Google Form
TR5039,C024,PT Karya Media,"Jl. Raya Pajajaran No. 176, Bandung",Properti & Konstruksi,Luthfi Cahyani,085245623585,Marketing Staff,Part-time,2,"Ilmu Komunikasi, Manajemen",4,"Menguasai dasar-dasar marketing staff, komunikasi baik, mampu bekerja dalam tim.",Hybrid,"WFO Senin-Rabu, WFH Kamis-Jumat",6 Bulan,Rp 1.500.000/bulan,2023-08-17,Google Form
TR5040,C843,PT Kreasi Sejahtera,"Jl. Veteran No. 83, Yogyakarta",Travel & Hospitality,Cahyo Oktaviani,081544558190,Business Development Intern,Full-time,4,"Ilmu Komunikasi, Manajemen",7,"Menguasai dasar-dasar business development intern, komunikasi baik, mampu bekerja dalam tim.",WFO,"WFO 5 hari, jam kerja fleksibel",4 Bulan,Rp 5.000.000/bulan,2023-10-04,Google Form
TR5041,C872,CV Inovasi Pratama,"Jl. Ronggowarsito No. 83, Yogyakarta",Energi & Pertambangan,Arif Handayani,081278376188,Electrical Engineer Intern,Magang,2,Teknik Elektro,5,"Menguasai dasar-dasar electrical engineer intern, komunikasi baik, mampu bekerja dalam tim.",WFO,"WFO 5 hari, jam kerja fleksibel",4 Bulan,Rp 2.000.000/bulan,2023-09-22,Google Form
TR5042,C682,CV Nusa Pratama,"Jl. Braga No. 102, Surabaya",Logistik & Supply Chain,Nisa Budiman,087854950050,Data Entry Operator,Magang,1,"Manajemen, Sistem Informasi",4,"Menguasai dasar-dasar data entry operator, komunikasi baik, mampu bekerja dalam tim.",WFO,"Full WFO, shift pagi/siang",3 Bulan,Uang transport saja,2023-08-18,Google Form
TR5043,C995,PT Sinergi Makmur,"Jl. Merdeka No. 16, Tangerang",Asuransi,Amelia Nugroho,085287312677,Actuarial Analyst Intern,Full-time,1,"Statistika, Akuntansi",6,"Menguasai dasar-dasar actuarial analyst intern, komunikasi baik, mampu bekerja dalam tim.",Hybrid,"WFO Senin-Rabu, WFH Kamis-Jumat",6 Bulan,Rp 3.000.000/bulan,2023-12-25,Google Form
TR5044,C171,PT Prima Data,"Jl. Pandanaran No. 179, Surakarta",Properti & Konstruksi,Ahmad Ningsih,085217266523,Drafter,Magang,5,"Teknik Sipil, Teknik Mesin",7,"Menguasai dasar-dasar drafter, komunikasi baik, mampu bekerja dalam tim.",Hybrid,"2 hari WFO, 3 hari WFH",Tidak Terbatas,Rp 1.500.000/bulan,2023-12-13,Input Manual
TR5045,C1410,CV Sinergi Logistik,"Jl. Hasanuddin No. 55, Jakarta",Properti & Konstruksi,Indah Wardani,085802312653,IT Support,Magang,2,"Teknik Elektro, Informatika",7,"Menguasai troubleshooting hardware/software, networking dasar, Microsoft Office.",WFO,"WFO 5 hari, jam kerja fleksibel",6 Bulan,Rp 750.000/bulan,2024-01-02,Email
TR5046,C917,PT Bina Solusi,"Jl. Pemuda No. 94, Yogyakarta",Travel & Hospitality,Gita Nugraha,087796240964,Digital Marketing Intern,Full-time,4,"Desain Komunikasi Visual, Manajemen",5,"Menguasai social media management, Google Ads, SEO dasar, content creation.",WFH,WFH dengan weekly meeting online,3 Bulan,Rp 4.000.000/bulan,2024-01-11,Input Manual
TR5047,C369,PT Bangkit Inovasi,"Jl. Veteran No. 61, Surakarta",Kesehatan & Farmasi,Ika Saputra,082169524991,Lab Technician Intern,Part-time,2,"Farmasi, Agroteknologi",7,"Menguasai dasar-dasar lab technician intern, komunikasi baik, mampu bekerja dalam tim.",WFO,"Full WFO, Senin-Jumat 08:00-17:00",4 Bulan,Rp 2.000.000/bulan,2023-12-02,Google Form
TR5048,C1467,CV Mandiri Informatika,"Jl. Dago No. 179, Bandung",Pendidikan & EdTech,Aditya Hidayat,085210904886,Research Intern,Magang,1,"Statistika, Psikologi",4,"Menguasai dasar-dasar research intern, komunikasi baik, mampu bekerja dalam tim.",Hybrid,"2 hari WFO, 3 hari WFH",3 Bulan,Rp 2.500.000/bulan,2023-09-09,Google Form
TR5049,C1257,PT Solusi Informatika,"Jl. Pandanaran No. 7, Jakarta",Energi & Pertambangan,Bella Kurniawan,085782127655,Data Analyst,Magang,2,"Ekonomi Pembangunan, Sistem Informasi",5,"Menguasai SQL, Python/R, visualisasi data (Tableau/Power BI), statistik dasar.",WFH,"Full remote, standup meeting harian via Zoom",3 Bulan,Rp 2.000.000/bulan,2023-08-06,Email
TR5050,C974,PT Indo Data,"Jl. Kebon Jeruk No. 191, Jakarta",Energi & Pertambangan,Tika Oktaviani,081276634933,Mechanical Engineer Intern,Magang,4,Teknik Mesin,7,"Menguasai AutoCAD/SolidWorks, material science dasar, manufaktur.",WFO,"WFO 5 hari, jam kerja fleksibel",3 Bulan,Non-Paid,2023-11-20,Google Form
TR5051,C731,CV Sukses Bangsa,"Jl. Thamrin No. 188, Jakarta",Otomotif,Eka Saputra,081512549855,Data Analyst,Magang,2,"Ekonomi Pembangunan, Manajemen",4,"Menguasai SQL, Python/R, visualisasi data (Tableau/Power BI), statistik dasar.",Hybrid,"3 hari WFO, 2 hari WFH",3 Bulan,Rp 2.000.000/bulan,2023-11-20,Input Manual
TR5052,C587,PT Sentosa Terapan,"Jl. Urip Sumoharjo No. 135, Surakarta",Manufaktur,Elsa Maulana,087705361569,IT Support,Part-time,2,"Informatika, Teknik Elektro",6,"Menguasai troubleshooting hardware/software, networking dasar, Microsoft Office.",WFH,"Full WFH, jam kerja fleksibel",3 Bulan,Rp 1.000.000/bulan,2023-10-19,Input Manual
TR5053,C146,CV Bangkit Mandiri,"Jl. Merdeka No. 22, Surabaya",Properti & Konstruksi,Ivan Ramadhani,082268876767,Drafter,Part-time,3,"Teknik Sipil, Teknik Mesin",5,"Menguasai dasar-dasar drafter, komunikasi baik, mampu bekerja dalam tim.",Hybrid,"3 hari WFO, 2 hari WFH",3 Bulan,Rp 1.500.000/bulan,2023-11-27,Google Form
TR5054,C559,PT Nusa Abadi,"Jl. Pahlawan No. 121, Yogyakarta",Otomotif,Fani Santoso,087862080713,Data Analyst,Part-time,4,"Manajemen, Ekonomi Pembangunan",6,"Menguasai SQL, Python/R, visualisasi data (Tableau/Power BI), statistik dasar.",Hybrid,WFO minimal 2 hari per minggu,6 Bulan,Rp 2.500.000/bulan,2023-08-02,Email
TR5055,C1146,CV Solusi Makmur,"Jl. Monginsidi No. 85, Jakarta",Asuransi,Ratna Puspitasari,087829805682,Business Analyst,Part-time,1,"Statistika, Sistem Informasi",4,"Menguasai analisis proses bisnis, SQL, visualisasi data, komunikasi yang baik.",WFH,WFH dengan weekly meeting online,3 Bulan,Rp 1.500.000/bulan,2023-09-21,Email
TR5056,C1298,CV Graha Systems,"Jl. Dago No. 24, Jakarta",E-commerce,Naufal Puspitasari,087736707217,Content Writer,Magang,2,"Ilmu Komunikasi, Sastra Inggris",4,"Kemampuan menulis konten yang baik, SEO writing, riset topik.",WFO,"Full WFO, Senin-Jumat 08:00-17:00",4 Bulan,Non-Paid,2023-11-06,Google Form
TR5057,C216,PT Gemilang Utama,"Jl. Ahmad Yani No. 139, Surabaya",Retail,Vina Nugroho,082289204917,Store Supervisor Intern,Magang,3,Manajemen,5,"Menguasai dasar-dasar store supervisor intern, komunikasi baik, mampu bekerja dalam tim.",Hybrid,"3 hari WFO, 2 hari WFH",3 Bulan,Rp 1.000.000/bulan,2023-09-25,Input Manual
TR5058,C1261,CV Inovasi Bangsa,"Jl. Yos Sudarso No. 2, Tangerang",Agribisnis,Prita Hidayat,085849987034,Data Entry Operator,Full-time,3,"Akuntansi, Manajemen",6,"Menguasai dasar-dasar data entry operator, komunikasi baik, mampu bekerja dalam tim.",WFO,"WFO 5 hari, jam kerja fleksibel",3 Bulan,Rp 4.500.000/bulan,2023-10-05,Google Form
TR5059,C938,PT Jaya Karya,"Jl. Pandanaran No. 164, Jakarta",Kesehatan & Farmasi,Julia Wardani,087746870927,Quality Control Staff,Full-time,3,"Farmasi, Agroteknologi",7,"Memahami quality management system, ISO standards, inspeksi produk.",Hybrid,"Hybrid fleksibel, minimal 3 hari WFO per minggu",3 Bulan,Rp 6.000.000/bulan,2023-09-19,WhatsApp
TR5060,C1221,CV Inovasi Karya,"Jl. Veteran No. 9, Malang",Asuransi,Mega Anggraeni,085266032949,Data Analyst,Part-time,3,"Manajemen, Informatika",6,"Menguasai SQL, Python/R, visualisasi data (Tableau/Power BI), statistik dasar.",WFH,"Full remote, standup meeting harian via Zoom",3 Bulan,Rp 2.000.000/bulan,2023-12-01,Google Form
TR5061,C1345,CV Bumi Sentosa,"Jl. MT Haryono No. 147, Surabaya",Properti & Konstruksi,Intan Budiman,081399160539,Accounting Staff,Magang,5,"Akuntansi, Manajemen",6,"Menguasai akuntansi dasar, software akuntansi (MYOB/Accurate), Excel.",Hybrid,"WFO Senin-Rabu, WFH Kamis-Jumat",Tidak Terbatas,Uang transport saja,2023-09-07,Google Form
TR5062,C441,CV Graha Bangsa,"Jl. Diponegoro No. 91, Surakarta",Media & Kreatif,Ulfa Budiman,082112767398,Video Editor,Magang,1,"Desain Komunikasi Visual, Ilmu Komunikasi",6,"Menguasai Adobe Premiere/After Effects, storytelling visual.",WFH,WFH dengan weekly meeting online,3 Bulan,Rp 500.000/bulan,2024-01-25,Email
TR5063,C1219,CV Techno Utama,"Jl. Veteran No. 111, Jakarta",Keuangan & Perbankan,Vina Gunawan,081653312107,Accounting Staff,Part-time,2,"Akuntansi, Manajemen",5,"Menguasai akuntansi dasar, software akuntansi (MYOB/Accurate), Excel.",WFO,"WFO 5 hari, jam kerja fleksibel",4 Bulan,Rp 2.000.000/bulan,2023-10-26,Input Manual
TR5064,C459,PT Solusi Perkasa,"Jl. Hasanuddin No. 89, Jakarta",Teknologi Informasi,Aditya Rahmawati,082120681558,Frontend Developer,Magang,2,"Informatika, Sistem Informasi",4,"Menguasai HTML/CSS/JavaScript, framework React/Vue.js, responsive design. Pengalaman dengan Git.",WFO,"WFO 5 hari, jam kerja fleksibel",Tidak Terbatas,Rp 3.000.000/bulan,2023-08-12,Google Form
TR5065,C408,PT Global Karya,"Jl. Ahmad Yani No. 181, Surakarta",Otomotif,Nisa Hidayat,081302450942,Quality Control Staff,Full-time,4,"Farmasi, Teknik Industri",5,"Memahami quality management system, ISO standards, inspeksi produk.",Hybrid,"2 hari WFO, 3 hari WFH",Tidak Terbatas,Rp 4.500.000/bulan,2023-09-05,Google Form
TR5066,C606,PT Esa Bersama,"Jl. Kebon Jeruk No. 99, Surabaya",Otomotif,Joko Nugroho,081636849951,Production Engineer Intern,Part-time,3,"Teknik Industri, Teknik Mesin",7,"Menguasai dasar-dasar production engineer intern, komunikasi baik, mampu bekerja dalam tim.",WFO,"Full WFO, shift pagi/siang",3 Bulan,Rp 1.000.000/bulan,2023-12-20,Input Manual
TR5067,C1443,PT Global Media,"Jl. Jend. Sudirman No. 186, Yogyakarta",Keuangan & Perbankan,Kartika Handayani,082143713366,IT Staff,Part-time,2,"Teknik Elektro, Sistem Informasi",5,"Menguasai dasar-dasar it staff, komunikasi baik, mampu bekerja dalam tim.",Hybrid,"3 hari WFO, 2 hari WFH",6 Bulan,Rp 1.500.000/bulan,2023-12-23,Input Manual
TR5068,C1062,PT Indo Solusi,"Jl. Urip Sumoharjo No. 120, Surabaya",Konsultan Manajemen,Dinda Kurniawan,081318437886,IT Consultant Intern,Full-time,5,"Informatika, Sistem Informasi",5,"Menguasai dasar-dasar it consultant intern, komunikasi baik, mampu bekerja dalam tim.",WFO,"Full WFO, Senin-Jumat 08:00-17:00",3 Bulan,Rp 4.500.000/bulan,2023-09-29,Google Form
TR5069,C302,PT Graha Sentosa,"Jl. Gatot Subroto No. 164, Surabaya",Teknologi Informasi,Devi Nugroho,085327278576,Data Engineer,Magang,1,"Sistem Informasi, Informatika",6,"Menguasai Python, SQL, ETL pipeline, cloud platform (AWS/GCP), Apache Spark dasar.",WFO,"Full WFO, Senin-Jumat 08:00-17:00",3 Bulan,Rp 1.500.000/bulan,2024-01-01,Google Form
TR5070,C631,PT Graha Karya,"Jl. Pemuda No. 82, Malang",Properti & Konstruksi,Prasetyo Pangestu,085730118025,Drafter,Part-time,1,"Teknik Sipil, Teknik Mesin",5,"Menguasai dasar-dasar drafter, komunikasi baik, mampu bekerja dalam tim.",Hybrid,"2 hari WFO, 3 hari WFH",3 Bulan,Rp 1.000.000/bulan,2023-08-06,Input Manual
TR5071,C299,PT Prima Nusantara,"Jl. Brigjend Katamso No. 136, Jakarta",Konsultan Manajemen,Galih Safitri,085681794695,Consultant Intern,Part-time,5,"Manajemen, Sistem Informasi",6,"Menguasai dasar-dasar consultant intern, komunikasi baik, mampu bekerja dalam tim.",WFO,"WFO 5 hari, jam kerja fleksibel",3 Bulan,Rp 1.000.000/bulan,2023-08-16,Email
TR5072,C590,PT Digital Gemilang,"Jl. Dago No. 143, Surabaya",FMCG,Ulfa Fitriani,083881056974,Marketing Intern,Magang,1,"Manajemen, Ilmu Komunikasi",6,"Memahami dasar marketing, riset pasar, presentasi, MS Office.",WFO,"Full WFO, Senin-Jumat 08:00-17:00",6 Bulan,Rp 2.000.000/bulan,2023-11-27,Google Form
TR5073,C470,PT Indo Abadi,"Jl. Yos Sudarso No. 139, Jakarta",Kesehatan & Farmasi,Hendra Nugraha,081366918362,Data Analyst,Magang,3,"Statistika, Manajemen",7,"Menguasai SQL, Python/R, visualisasi data (Tableau/Power BI), statistik dasar.",Hybrid,"3 hari WFO, 2 hari WFH",4 Bulan,Rp 2.500.000/bulan,2024-01-28,Google Form
TR5074,C365,PT Nusa Gemilang,"Jl. Jend. Sudirman No. 95, Surakarta",Logistik & Supply Chain,Januar Dewi,087815171827,Operations Intern,Full-time,2,"Teknik Industri, Manajemen",5,"Menguasai dasar-dasar operations intern, komunikasi baik, mampu bekerja dalam tim.",WFH,"Full remote, standup meeting harian via Zoom",3 Bulan,Rp 3.000.000/bulan,2023-12-15,Google Form
TR5075,C251,PT Inovasi Cerdas,"Jl. Pahlawan No. 35, Surabaya",Keuangan & Perbankan,Lina Prabowo,082118960924,Financial Analyst,Part-time,2,"Akuntansi, Ekonomi Pembangunan",6,"Menguasai Excel advanced, financial modeling, analisis laporan keuangan.",WFO,"Full WFO, Senin-Jumat 08:00-17:00",6 Bulan,Rp 2.500.000/bulan,2023-11-22,Email
TR5076,C409,PT Sinergi Gemilang,"Jl. Ahmad Yani No. 38, Jakarta",Teknologi Informasi,Mega Putra,081345653286,Data Science Intern,Magang,3,"Informatika, Statistika",6,"Menguasai Python, machine learning dasar, statistik, SQL, Jupyter Notebook.",WFO,"Full WFO, shift pagi/siang",3 Bulan,Rp 1.500.000/bulan,2023-08-03,Input Manual
TR5077,C976,PT Cakra Indonesia,"Jl. Thamrin No. 156, Tangerang",Telekomunikasi,Olivia Lestari,083853247250,NOC Technician,Magang,2,"Informatika, Teknik Elektro",6,"Menguasai dasar-dasar noc technician, komunikasi baik, mampu bekerja dalam tim.",WFO,"Full WFO, Senin-Jumat 08:00-17:00",6 Bulan,Rp 500.000/bulan,2024-01-22,WhatsApp
TR5078,C185,CV Mitra Karya,"Jl. Ronggowarsito No. 144, Jakarta",Otomotif,Qori Nugraha,082218420466,Quality Control Staff,Part-time,3,"Agroteknologi, Farmasi",6,"Memahami quality management system, ISO standards, inspeksi produk.",WFO,"WFO 5 hari, jam kerja fleksibel",Tidak Terbatas,Rp 2.500.000/bulan,2023-11-03,Google Form
TR5079,C322,PT Nusa Terapan,"Jl. Pandanaran No. 171, Jakarta",Keuangan & Perbankan,Hana Anggara,087710437121,Business Analyst,Full-time,4,"Sistem Informasi, Statistika",5,"Menguasai analisis proses bisnis, SQL, visualisasi data, komunikasi yang baik.",WFH,WFH dengan weekly meeting online,4 Bulan,Rp 6.000.000/bulan,2023-11-22,Google Form
TR5080,C1228,PT Daya Abadi,"Jl. Diponegoro No. 134, Bandung",Energi & Pertambangan,Budi Firdaus,083881924296,Data Analyst,Magang,1,"Ekonomi Pembangunan, Sistem Informasi",5,"Menguasai SQL, Python/R, visualisasi data (Tableau/Power BI), statistik dasar.",WFO,"Full WFO, Senin-Jumat 08:00-17:00",3 Bulan,Uang transport saja,2023-12-17,Input Manual
TR5081,C1281,CV Global Sejahtera,"Jl. Gatot Subroto No. 98, Jakarta",Agribisnis,Prasetyo Puspitasari,081315490443,Data Entry Operator,Magang,2,"Sistem Informasi, Akuntansi",4,"Menguasai dasar-dasar data entry operator, komunikasi baik, mampu bekerja dalam tim.",WFH,"Full remote, standup meeting harian via Zoom",Tidak Terbatas,Rp 2.500.000/bulan,2023-12-10,Google Form
TR5082,C120,PT Digital Konsultan,"Jl. Slamet Riyadi No. 51, Surakarta",Keuangan & Perbankan,Surya Safitri,082112479758,Business Analyst,Magang,2,"Sistem Informasi, Manajemen",4,"Menguasai analisis proses bisnis, SQL, visualisasi data, komunikasi yang baik.",Hybrid,"WFO Senin-Rabu, WFH Kamis-Jumat",3 Bulan,Rp 2.500.000/bulan,2023-11-28,WhatsApp
